iter	Passed	Remaining
0	3	391
1	8	395
2	12	407
3	16	398
4	20	394
5	24	383
6	29	391
7	33	385
8	37	380
9	41	372
10	45	371
11	49	365
12	53	358
13	57	354
14	62	352
15	66	347
16	70	341
17	74	341
18	80	342
19	85	342
20	90	340
21	96	340
22	100	337
23	105	332
24	110	331
25	115	327
26	119	323
27	125	321
28	129	317
29	134	313
30	139	310
31	144	306
32	148	301
33	152	296
34	157	293
35	162	288
36	166	283
37	172	280
38	176	276
39	180	271
40	186	267
41	190	263
42	194	258
43	199	253
44	204	249
45	209	245
46	213	240
47	219	237
48	223	232
49	228	228
50	232	223
51	237	218
52	239	212
53	243	207
54	247	202
55	252	198
56	256	193
57	260	188
58	265	184
59	269	179
60	273	175
61	277	170
62	282	165
63	286	161
64	290	156
65	294	151
66	299	147
67	303	142
68	307	138
69	311	133
70	316	129
71	320	124
72	324	119
73	339	119
74	344	114
75	349	110
76	353	105
77	357	100
78	361	96
79	366	91
80	370	86
81	375	82
82	379	77
83	383	73
84	387	68
85	392	63
86	398	59
87	402	54
88	406	50
89	411	45
90	415	41
91	420	36
92	424	31
93	429	27
94	433	22
95	439	18
96	443	13
97	447	9
98	451	4
99	455	0
